email,username,type
rmzacwqz@yahoo.com,abjlginu,1
rjeztbal@outlook.com,flttkgxx,0
mvqwiose@gmail.com,tntabmxg,0
oqkgkwre@yahoo.com,qljwcihe,0
gyabnhcj@gmail.com,onheexms,0
ogebtsvc@gmail.com,qbjkijqa,1
yqjhcplx@gmail.com,dzytvhlh,1
vkphellh@gmail.com,japdyhwh,1
qqivqmkv@yahoo.com,virmumoq,1
dsfeeyte@yahoo.com,hzjwurmc,1
fdvbyjoy@yahoo.com,tvxsybfi,1
obcsznqr@yahoo.com,fzqyexvq,0
cejfqkef@yahoo.com,exslyarc,1
cqeiacnt@outlook.com,ngztlrhq,0
muflvhdb@gmail.com,sysyswku,0
uxhenvrc@gmail.com,ayanyrza,1
dlkvajor@outlook.com,oiujfnlc,0
mxdejbfy@yahoo.com,suooidwa,1
ysdkqrpx@yahoo.com,xyhwhkaa,0
dsyfkoeo@outlook.com,detwxlhp,0
zrkodmws@yahoo.com,jyddpfai,1
ydqxvzmx@yahoo.com,eegqqnbk,0
wfwfxbuj@gmail.com,ltpwxxam,0
wnyxwnkh@yahoo.com,ziqpdisg,0
aqjhywhf@outlook.com,gepyjdaj,0
ythutcil@yahoo.com,nczyrkvc,0
upxzikzm@outlook.com,uiepeshi,0
gwzozzxb@yahoo.com,nlvfqdmu,1
wkzvkdkb@yahoo.com,rspcggst,1
lqhcpfsi@gmail.com,fkyhropg,0
ddshqwbs@yahoo.com,igrytptz,0
ydbprwqg@yahoo.com,sixgwvvu,0
xvtmvgfr@yahoo.com,vhzpgmnl,0
odizbpbu@yahoo.com,hgoglceo,1
rzlelmpd@outlook.com,uqhnphlu,0
qetutjef@gmail.com,mzbutjei,1
fbcpyfyu@outlook.com,ckbvdbis,0
mmexqbyy@gmail.com,bclrpzrc,1
hdvdsnfr@outlook.com,pjqdxtua,1
ijujixdt@outlook.com,dtyuvsdd,0
ghtmyumr@gmail.com,jlnjdsgo,1
bggqmvzb@outlook.com,oilbzdae,1
ezppvcnj@gmail.com,baghqnpy,1
xgmoawhb@yahoo.com,cyhjwfla,1
nhjhjmkl@gmail.com,zdsnrybx,0
rcwfjehp@outlook.com,rpfniotm,0
piykryjn@gmail.com,lapxnhbz,1
txxizvfi@outlook.com,xznqbupw,0
qktktgvz@outlook.com,jmfmiqwp,0
ucccfuvt@gmail.com,aflheqxp,0
ohrnekzz@outlook.com,hlazluxu,0
ywtctjbz@yahoo.com,nbrqncka,0
gizqblin@outlook.com,daxsftit,0
pfygkboj@gmail.com,gmaywrke,1
lcipzcsc@yahoo.com,kqdhbemx,0
ehohxroy@yahoo.com,gsoljwmh,0
iiyajyjm@gmail.com,vsyklwyo,1
crrhdbvn@yahoo.com,kpmeokdt,0
krngpxnh@outlook.com,cctkgczx,1
ohbahdkp@yahoo.com,njewlpyn,0
bfuxzjoz@gmail.com,vzxmgncu,0
ohvgptfz@yahoo.com,aezwvstw,0
qdqhwelv@gmail.com,trwzssfi,1
jspmkjet@yahoo.com,dgambhtc,1
wmfhvlfe@yahoo.com,htjypwzl,1
ssuevarv@yahoo.com,caqnqnxw,1
ovuqkram@yahoo.com,sgaymtoa,1
wpdmfnuw@gmail.com,mgasmowe,0
zpzvjcox@yahoo.com,ywyzenmb,1
bhnqoeqf@outlook.com,pgaugclo,0
hzhbnwia@outlook.com,fqxlmplh,0
ncsyvtvo@outlook.com,hnduavjl,1
qrxdlqix@yahoo.com,gxdwvuzu,0
bcdspsvl@outlook.com,lbaghfvx,1
ixtnobpm@yahoo.com,xxpayncw,0
vbtxywdj@gmail.com,frmbcjba,0
vpxnjldw@outlook.com,jgxneuwg,0
zdgvlfuf@yahoo.com,nsszfvbr,0
dzgkgnbq@yahoo.com,vpkkhczl,1
whvumbnt@outlook.com,umpeltlb,0
hisutgdy@outlook.com,pgabswfb,1
pkzreyvk@outlook.com,morzpyuv,0
swnpeexv@gmail.com,wlmrdiek,0
phakcdya@yahoo.com,vsbcdblu,0
ykfyxzwf@gmail.com,hwtayypp,1
hucypfph@outlook.com,xxzuhwsn,0
felxrqcb@outlook.com,ugdggkgw,0
nyrlpfmm@gmail.com,imscckba,0
wyduvujf@yahoo.com,frmvuwcl,1
bchhkifi@gmail.com,tvaujecy,1
yzbsvbvh@gmail.com,rttlyjzv,0
zevxythr@outlook.com,cjettyyx,0
eybvqinh@yahoo.com,qehcftih,0
rwhgsxwf@outlook.com,tzsmwtpx,0
xbjvitdi@yahoo.com,kxevvgtr,1
lcuscdfz@outlook.com,zjeaxmrk,1
peghzmpp@outlook.com,hdlnputz,0
axsygmte@outlook.com,kgvgloux,0
nsfchvbp@outlook.com,bwbxbjhu,0
bewfkznb@outlook.com,kyyyblou,0
